x1,y1,theta1,x2,y2,theta2
0.001666666666666667,0.0,2.3129646346357432e-19,0.001666666666666667,1.9274705288631198e-22,2.3129646346357432e-19
0.003333333333333334,3.8549410577262396e-22,4.6259292692714865e-19,0.003333333333333334,7.709882115452479e-22,4.6259292692714865e-19
0.005000000000000001,1.156482317317872e-21,6.93889390390723e-19,0.005000000000000001,1.7347234759768075e-21,6.93889390390723e-19
0.006666666666666668,2.312964634635744e-21,9.251858538542973e-19,0.006666666666666668,3.0839528461809913e-21,9.251858538542973e-19
0.008333333333333335,3.8549410577262395e-21,1.1564823173178715e-18,0.008333333333333335,4.8186763221577984e-21,1.1564823173178715e-18
0.010000000000000002,5.782411586589359e-21,1.3877787807814458e-18,0.010000000000000002,6.93889390390723e-21,1.3877787807814458e-18
0.011666666666666669,8.095376221225102e-21,1.61907524424502e-18,0.011666666666666669,9.444605591429285e-21,1.61907524424502e-18
0.013333333333333336,1.0793834961633469e-20,1.8503717077085942e-18,0.013333333333333336,1.2335811384723964e-20,1.8503717077085942e-18
0.015000000000000003,1.387778780781446e-20,2.0816681711721684e-18,0.015000000000000003,1.5612511283791266e-20,2.0816681711721684e-18
0.01666666666666667,1.7347234759768074e-20,2.3129646346357427e-18,0.01666666666666667,1.9274705288631194e-20,2.3129646346357427e-18
0.018333333333333337,2.1202175817494313e-20,2.544261098099317e-18,0.018333333333333337,2.3322393399243743e-20,2.544261098099317e-18
0.020000000000000004,2.5442610980993173e-20,2.775557561562891e-18,0.020000000000000004,2.7755575615628914e-20,2.775557561562891e-18
0.02166666666666667,3.006854025026466e-20,3.0068540250264653e-18,0.02166666666666667,3.257425193778671e-20,3.0068540250264653e-18
0.023333333333333338,3.507996362530877e-20,3.2381504884900396e-18,0.023333333333333338,3.777842236571713e-20,3.2381504884900396e-18
0.025000000000000005,4.0476881106125507e-20,3.4694469519536138e-18,0.025000000000000005,4.336808689942018e-20,3.4694469519536138e-18
0.026666666666666672,4.6259292692714865e-20,3.7007434154171884e-18,0.026666666666666672,4.934324553889585e-20,3.7007434154171884e-18
0.02833333333333334,5.2427198385076844e-20,3.932039878880763e-18,0.02833333333333334,5.570389828414414e-20,3.932039878880763e-18
0.030000000000000006,5.898059818321145e-20,4.163336342344337e-18,0.030000000000000006,6.245004513516506e-20,4.163336342344337e-18
0.031666666666666676,6.591949208711868e-20,4.394632805807911e-18,0.031666666666666676,6.958168609195861e-20,4.394632805807911e-18
0.03333333333333334,7.324388009679854e-20,4.625929269271485e-18,0.03333333333333334,7.709882115452477e-20,4.625929269271485e-18
0.035,8.095376221225101e-20,4.8572257327350596e-18,0.035,8.500145032286356e-20,4.8572257327350596e-18
0.03666666666666667,8.904913843347611e-20,5.088522196198634e-18,0.03666666666666667,9.328957359697497e-20,5.088522196198634e-18
0.03833333333333333,9.753000876047383e-20,5.319818659662208e-18,0.03833333333333333,1.0196319097685902e-19,5.319818659662208e-18
